Depth	TVD	ROP	Gas	C1(PPM)	C2	C3	iC4	nC4	C5
1011	1010.99	22.95	2	198	0	0	0	0	0
1012	1011.99	25.67	3	297	0	0	0	0	0
1013	1012.99	23.75	4	396	0	0	0	0	0
1014	1013.99	26.93	4	396	0	0	0	0	0
1015	1014.99	26.62	6	594	0	0	0	0	0
1016	1015.99	26.34	6	594	0	0	0	0	0
1017	1016.99	26.62	6	594	0	0	0	0	0
1018	1017.99	24.65	6	594	0	0	0	0	0
1019	1018.99	28.21	6	594	0	0	0	0	0
1020	1019.99	28.73	6	594	0	0	0	0	0
1021	1020.99	27.55	6	594	0	0	0	0	0
1022	1021.99	27.99	7	693	0	0	0	0	0
1023	1022.99	48.16	7	693	0	0	0	0	0
1024	1023.99	26.16	7	693	0	0	0	0	0
1025	1024.99	28.44	8	792	0	0	0	0	0
1026	1025.99	31.31	8	792	0	0	0	0	0
1027	1026.99	19.84	7	693	0	0	0	0	0
1028	1027.99	22.81	7	693	0	0	0	0	0
1029	1028.99	23.38	8	792	0	0	0	0	0
1030	1029.99	24.63	8	792	0	0	0	0	0
1031	1030.99	31.42	7	693	0	0	0	0	0
1032	1031.99	23.12	6	594	0	0	0	0	0
1033	1032.99	23.83	6	594	0	0	0	0	0
1034	1033.99	24.71	5	495	0	0	0	0	0
1035	1034.99	26.05	4	396	0	0	0	0	0
