Depth	TVD	ROP	WOB	RPM   Torque  Pump Pres	GPM  Temp In  Temp Out				
1486	1483.24	13.79	9.77	108	5	1230	581	96	98
1487	1485.54	14.27	7.75	108	6	1020	581	96	98
1488	1486.54	16.15	8.66	108	6	1019	581	96	98
1489	1487.54	20.12	5.46	108	5	1017	581	96	98
1490	1488.54	18.53	8.24	108	6	1018	581	96	98
1491	1490.9	11	7.26	108	8	1015	581	96	98
1492	1491.9	10.59	7.67	86	6	1041	581	96	98
1493	1492.9	12	2.8	100	7	1100	599	96	98
1494	1493.9	13	6.35	109	7	1127	601	96	98
1495	1494.9	13.77	2.95	109	6	1129	601	96	98
1496	1495.9	15	1.7	109	6	1140	601	96	98
1497	1496.9	18.99	2.08	108	5	1129	601	96	98
1498	1497.9	17	10.35	108	8	1069	601	96	98
1499	1498.9	18	10.07	108	8	1070	601	96	98
1500	1499.9	17	10.63	109	7	1077	601	96	98
1501	1500.9	16.52	6.76	108	6	1106	601	96	98
1502	1501.9	15	3.99	108	4	1083	601	96	98
1503	1502.9	17.81	4.69	108	5	1012	601	96	98
1504	1503.9	20	5.01	108	5	1012	601	96	98
1505	1504.9	20.85	13.17	108	6	1165	654	96	98
1506	1505.9	18	19.33	108	7	1382	724	96	98
1507	1506.9	17.63	22.69	108	7	1426	740	96	98
1508	1507.9	16.84	27	109	8	1420	740	96	98
1509	1508.9	17.34	27	109	8	1420	740	96	98
1510	1509.9	17.69	27	109	8	1420	740	96	98
1511	1510.9	18.42	25.13	113	7	1476	750	96	98
1512	1511.9	19.86	14.9	129	6	1693	790	96	98
1513	1512.9	16	17.67	128	6	1699	790	96	98
1514	1513.9	15.54	17.5	128	6	1708	790	96	98
1515	1514.9	14	20.15	126	7	1704	790	96	98
1516	1515.9	13.27	16.26	126	7	1698	790	96	98
1517	1516.9	12.75	15.83	125	8	1707	790	96	98
1518	1517.9	14.63	23.49	125	8	1711	790	96	98
1519	1518.9	13	18.23	126	7	1711	790	96	98
1520	1519.9	13	23.5	127	7	1717	790	96	98
1521	1520.9	14	19.26	129	6	1739	790	96	98
1522	1521.9	12	14.67	129	5	1755	790	96	97
1523	1522.9	13	12.25	130	5	1746	790	96	98
1524	1523.9	14	14.91	130	6	1740	790	95	97
1525	1524.9	15.95	20.93	130	7	1735	790	95	97
1526	1525.9	16.42	20.49	130	7	1729	790	95	97
1527	1526.9	15	16.75	130	7	1734	790	96	98
1528	1527.9	17.54	11.63	130	5	1747	790	95	97
1529	1528.9	19	13.21	130	5	1752	790	96	98
1530	1529.9	22	11.56	130	5	1752	790	96	98
1531	1530.9	20.4	10.31	130	6	1749	790	96	98
1532	1531.9	22.97	10.24	130	5	1750	790	96	98
1533	1532.9	20.33	7.82	130	5	1750	790	96	98
1534	1533.9	23.13	9.84	130	5	1754	790	96	98
1535	1534.9	21.52	10.86	130	5	1760	790	96	98
1536	1535.9	19.55	10.05	129	6	1760	789	96	98
1537	1536.9	20.71	8.71	130	11	1763	790	96	98
1538	1537.9	20.38	7.07	130	7	1770	790	96	98
1539	1538.9	19.24	7.52	130	8	1770	790	96	98
1540	1539.9	19.26	10.16	130	6	1778	790	96	98
1541	1540.9	18.01	9.35	128	8	1786	790	96	98
1542	1541.9	20.14	12.74	129	7	1785	790	96	98
1543	1542.9	22	11.5	130	7	1787	790	96	98
1544	1543.9	22.38	8.76	130	8	1790	790	96	97
1545	1544.9	23	8.18	130	7	1790	790	96	98
1546	1545.9	25	8.74	130	7	1793	790	96	98
1547	1546.9	26	10.43	130	6	1797	789	96	98
1548	1547.9	27.1	7.98	130	8	1799	790	96	97
1549	1548.9	23	11.73	130	10	1801	790	96	98
1550	1549.9	24.87	7.21	130	8	1881	790	96	98
1551	1550.9	22.54	2.67	131	6	1954	788	96	98
1552	1551.9	18.88	9.89	130	6	1903	787	96	98
1553	1552.9	18.02	15.78	130	6	1899	787	96	98
1554	1553.9	20.46	15.29	130	7	1897	787	96	98
1555	1554.9	17.9	14.54	130	7	1898	787	96	98
1556	1555.9	17.32	18.33	130	7	1910	787	96	98
1557	1556.9	17.19	18.29	130	7	1909	787	96	98
1558	1557.9	15.17	17.81	130	7	1910	787	96	98
1559	1558.9	14.91	17.68	130	6	1880	787	96	98
1560	1559.9	3.94	7.38	131	2	654	314	96	98
1561	1560.9	18.99	21.11	130	7	1594	787	96	98
1562	1561.9	17.19	20.62	130	7	1595	787	96	98
1563	1562.9	15.12	21.96	130	8	1622	787	96	98
1564	1563.9	14.6	20.7	131	7	1650	787	96	98
1565	1564.9	17.79	17.37	130	7	1658	787	96	98
1566	1565.9	16.26	19.16	130	7	1698	787	96	98
1567	1566.9	18.92	18.75	130	7	1731	787	96	98
1568	1567.9	15.99	18.96	130	8	1762	787	96	98
1569	1568.9	19.69	21.41	130	8	1791	787	96	98
1570	1569.9	18.22	19.65	130	8	1785	787	96	98
1571	1570.9	19.13	19.71	130	7	1797	787	96	98
1572	1571.9	19.24	18.74	130	7	1815	787	96	98
1573	1572.9	18.66	22.13	130	8	1843	787	96	98
1574	1573.9	17.31	19.33	130	8	1883	787	96	98
1575	1574.9	14.3	20.12	130	6	1903	787	96	98
1576	1575.9	14.02	18.96	130	6	1916	787	96	98
1577	1576.9	13.94	20.55	130	6	1926	787	96	98
1578	1577.9	20.28	5.21	118	3	1711	708	96	98
1579	1578.9	24.7	13.68	130	6	1881	787	96	98
1580	1579.9	17.44	18.16	130	6	1831	787	96	98
1581	1580.9	17.24	17.22	130	6	1791	787	96	98
1582	1581.9	12.61	15.57	130	6	1847	787	96	98
1583	1582.9	17.22	14.99	130	6	1855	787	96	98
1584	1583.9	15.34	19.07	130	6	1854	787	96	98
1585	1584.9	16.43	19.28	130	7	1862	787	96	98
1586	1585.9	15.76	17.28	130	7	1852	787	96	98
1587	1586.9	15.46	16.2	130	7	1898	787	96	98
1588	1587.9	13.75	17.01	130	6	1936	787	96	98
1589	1588.9	14.21	17.04	130	7	1935	787	96	98
1590	1589.9	12.3	17.69	130	6	1952	787	96	98
1591	1590.9	13.78	16.74	130	6	1968	787	96	98
1592	1591.9	14.2	20.78	130	6	1994	787	96	98
1593	1592.9	13.85	16.1	130	7	1976	787	96	98
1594	1593.9	11.33	18.96	130	6	1941	787	96	98
1595	1594.9	14.86	17.26	130	6	1936	787	96	98
1596	1595.9	16.8	17.23	131	7	1917	787	96	98
1597	1596.9	16.56	15.78	130	7	1924	787	96	98
1598	1597.9	16.55	16.35	131	7	1935	787	96	98
1599	1597.9	16.8	20.29	131	7	1941	787	96	98
1600	1597.9	13.84	20.96	131	7	1929	787	96	98
1601	1600.9	15.61	23.23	130	8	1935	787	96	98
1602	1601.9	15.25	21.88	130	7	1935	787	96	98
1603	1602.9	13.97	19.89	130	7	1962	787	96	98
1604	1603.9	13.93	18.02	131	7	1963	787	96	98
1605	1604.9	2.35	4.93	131	7	1936	789	96	98
1606	1605.9	2.35	8.36	130	7	1945	769	96	98
1607	1606.9	2.35	9.36	130	7	1968	726	96	98
1608	1607.9	2.35	8.36	130	7	1956	763	96	98
1609	1608.9	13.27	2.98	130	7	1025	759	96	98
1610	1609.9	13.2	6.36	130	7	1236	745	96	98
1611	1610.9	27.94	11.42	132	6	2065	793	96	98
1612	1611.9	25.74	14.35	131	6	2053	793	96	98
1613	1612.9	19.57	14.98	131	7	2038	791	96	98
1614	1613.9	20.68	16.48	130	8	1940	790	96	98
1615	1614.9	21.18	17.11	130	7	1922	790	96	98
1616	1615.9	21.36	15.53	130	7	1918	790	96	98
1617	1616.9	21.27	21.4	130	8	1965	790	96	98
1618	1617.9	21.6	17.78	130	8	1997	790	96	98
1619	1618.9	21.59	20.21	130	8	1996	790	96	98
1620	1619.9	21.04	14.33	130	7	2013	790	96	98
1621	1620.9	17.94	17.44	130	7	2012	790	97	99
1622	1621.9	25.17	11.89	131	5	2032	790	97	99
1623	1622.9	15.88	15.82	130	6	2041	790	97	99
1624	1623.9	18.17	18.2	130	7	2025	790	97	99
1625	1624.9	13.62	18.67	130	7	2007	790	97	99
1626	1625.9	12.34	19.7	130	7	2008	790	97	99
1627	1626.9	13.57	19.68	130	7	1994	790	98	99
1628	1627.9	14.06	23.96	130	7	1997	790	98	99
1629	1628.9	12.47	22.36	130	7	2003	790	98	99
1630	1629.9	14.34	21.79	131	8	2036	790	98	100
1631	1630.9	13.77	20.39	131	7	1996	790	98	100
1632	1631.9	13.74	17.95	131	7	1994	790	98	100
1633	1632.9	14.96	18.19	132	7	2023	790	99	100
1634	1633.9	15.75	17.92	132	7	2028	790	99	102
1635	1634.9	12.96	18.15	132	7	2029	790	99	102
1636	1635.9	16.79	19.11	132	7	2031	790	99	102
1637	1635.27	15.2	15.08	132	7	2031	500	80	82	
1638	1635.47	12.42	14.08	131	7	1890	450	81	85	
1639	163.7	12.36	15.23	12	7	2150	450	82	85	
										






