********************************************************************************

Well:		Bilabri D3
Path:		Original Path
Hole:		Original Path Hole
Start:		262.00(m)
End:			841.00(m)
Date/Time:	Wednesday, October 11, 2006 /19:13:48
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

286.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
286.80                  -999.25                 -999.25                 24.0                    0.730                   0.355                   -999.25                 
286.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
287.00                  -999.25                 -999.25                 20.9                    -999.25                 -999.25                 -999.25                 
287.10                  -999.25                 -999.25                 -999.25                 0.712                   0.332                   -999.25                 
287.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
287.30                  -999.25                 -999.25                 18.8                    0.687                   0.314                   -999.25                 
287.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
287.50                  -999.25                 -999.25                 14.0                    0.717                   0.284                   -999.25                 
287.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
287.70                  -999.25                 -999.25                 -999.25                 0.764                   0.481                   -999.25                 
287.80                  -999.25                 -999.25                 20.1                    -999.25                 -999.25                 -999.25                 
287.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
288.00                  -999.25                 -999.25                 22.7                    -999.25                 -999.25                 -999.25                 
288.10                  -999.25                 -999.25                 20.1                    0.703                   0.272                   -999.25                 
288.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
